iter	Passed	Remaining
0	76	75945
1	136	68209
2	202	67307
3	255	63586
4	324	64636
5	376	62410
6	447	63543
7	516	64075
8	572	63049
9	631	62473
10	686	61679
11	752	61957
12	866	65806
13	933	65762
14	1016	66730
15	1114	68521
16	1177	68090
17	1302	71042
18	1364	70450
19	1470	72076
20	1548	72203
21	1624	72201
22	1682	71482
23	1748	71125
24	1824	71136
25	1890	70806
26	1938	69860
27	2013	69883
28	2090	70007
29	2168	70108
30	2231	69750
31	2292	69344
32	2346	68768
33	2404	68316
34	2486	68564
35	2547	68203
36	2625	68324
37	2686	68008
38	2765	68152
39	2830	67920
40	2891	67632
41	2955	67408
42	3015	67110
43	3078	66893
44	3145	66748
45	3203	66446
46	3278	66484
47	3347	66388
48	3391	65814
49	3446	65476
50	3508	65288
51	3559	64901
52	3621	64701
53	3680	64471
54	3737	64208
55	3799	64042
56	3865	63953
57	3923	63716
58	3984	63556
59	4061	63630
60	4116	63374
61	4164	63004
62	4231	62933
63	4305	62970
64	4368	62841
65	4432	62728
66	4496	62617
67	4554	62426
68	4625	62405
69	4685	62243
70	4752	62184
71	4811	62008
72	4872	61869
73	4948	61924
74	5003	61706
75	5077	61736
76	5160	61861
77	5214	61638
78	5270	61439
79	5319	61178
80	5387	61120
81	5445	60967
82	5502	60787
83	5549	60513
84	5604	60332
85	5677	60336
86	5741	60254
87	5793	60038
88	5852	59906
89	5909	59754
90	5970	59638
91	6059	59802
92	6112	59610
93	6171	59480
94	6238	59434
95	6288	59214
96	6355	59162
97	6408	58986
98	6478	58958
99	6524	58723
100	6587	58630
101	6640	58459
102	6704	58391
103	6775	58374
104	6830	58225
105	6892	58128
106	6951	58019
107	7020	57981
108	7079	57872
109	7135	57731
110	7198	57651
111	7269	57633
112	7332	57553
113	7390	57436
114	7444	57293
115	7496	57129
116	7552	56999
117	7620	56956
118	7678	56849
119	7739	56758
120	7794	56624
121	7855	56531
122	7916	56445
123	7973	56329
124	8027	56191
125	8079	56045
126	8139	55950
127	8201	55872
128	8266	55813
129	8321	55692
130	8389	55650
131	8457	55617
132	8512	55493
133	8554	55286
134	8624	55262
135	8678	55132
136	8748	55107
137	8806	55007
138	8867	54927
139	8932	54868
140	8994	54794
141	9057	54728
142	9124	54682
143	9198	54678
144	9277	54707
145	9340	54635
146	9399	54540
147	9464	54487
148	9529	54429
149	9584	54314
150	9644	54225
151	9716	54205
152	9777	54125
153	9835	54031
154	9894	53938
155	9955	53861
156	10011	53755
157	10058	53605
158	10112	53486
159	10166	53374
160	10220	53259
161	10262	53088
162	10326	53027
163	10389	52959
164	10469	52980
165	10529	52902
166	10591	52828
167	10676	52874
168	10733	52777
169	10787	52669
170	10843	52567
171	10906	52504
172	10967	52430
173	11064	52522
174	11107	52364
175	11173	52314
176	11237	52249
177	11283	52107
178	11336	51996
179	11388	51883
180	11448	51801
181	11510	51732
182	11576	51683
183	11632	51586
184	11699	51541
185	11804	51658
186	11865	51584
187	11929	51525
188	11996	51475
189	12052	51380
190	12093	51223
191	12158	51167
192	12220	51098
193	12279	51015
194	12325	50883
195	12410	50907
196	12468	50822
197	12522	50721
